,movieId,title,genres_y,userId,rating
0,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,10,2.5
1,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,15,3.0
2,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,18,4.0
3,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,21,4.0
4,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,22,3.5
5,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,28,5.0
6,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,47,2.5
7,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,50,2.0
8,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,52,4.5
9,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,62,4.0
10,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,68,5.0
11,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,73,3.5
12,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,80,4.0
13,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,83,4.5
14,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,103,3.0
15,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,104,3.0
16,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,105,4.0
17,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,106,5.0
18,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,111,2.0
19,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,112,4.0
20,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,119,5.0
21,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,122,4.5
22,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,125,4.5
23,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,139,1.5
24,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,141,2.5
25,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,148,4.0
26,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,153,1.0
27,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,154,5.0
28,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,159,4.0
29,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,177,2.5
30,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,210,5.0
31,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,212,3.0
32,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,232,4.0
33,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,233,2.5
34,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,246,4.0
35,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,247,2.0
36,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,249,4.0
37,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,253,2.0
38,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,256,4.5
39,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,274,3.0
40,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,279,2.0
41,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,282,4.0
42,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,288,4.0
43,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,291,5.0
44,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,292,4.0
45,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,298,3.0
46,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,305,4.5
47,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,306,3.5
48,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,308,4.0
49,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,318,3.5
50,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,320,4.0
51,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,328,3.5
52,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,332,4.0
53,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,334,3.5
54,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,339,3.0
55,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,351,2.5
56,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,352,5.0
57,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,357,4.0
58,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,365,4.0
59,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,377,4.5
60,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,380,3.0
61,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,381,4.5
62,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,393,0.5
63,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,401,3.0
64,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,414,4.0
65,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,432,4.0
66,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,434,5.0
67,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,443,3.0
68,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,448,3.0
69,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,459,5.0
70,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,464,5.0
71,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,475,4.5
72,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,477,4.0
73,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,483,4.5
74,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,489,1.5
75,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,490,3.0
76,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,495,5.0
77,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,519,4.0
78,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,520,4.5
79,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,522,1.0
80,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,525,3.0
81,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,534,3.0
82,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,537,5.0
83,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,543,5.0
84,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,551,3.5
85,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,556,4.0
86,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,561,3.0
87,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,567,1.0
88,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,573,5.0
89,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,586,4.0
90,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,590,3.5
91,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,596,3.0
92,72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX,599,2.5
